credit_card_name,card_fees,rewards,lounge_access,milestone,card_rev_cond
MoneyBack+ Credit Card,Joining/Renewal Membership Fee – ₹500/- + Applicable Taxes,None,None,None,"Spend ₹50,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off"
Millennia Credit Card,"Joining/Renewal Membership Fee – ₹1,000/- + Applicable Taxes",None,None,None,"Spend ₹1,00,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off ."
IndianOil HDFC Bank Credit Card,Joining/Renewal Membership Fee – Rs. 500/- plus Applicable Taxes,None,None,None,None
Regalia Gold Credit Card,Joining/ Renewal Membership Fee of Rs. 2500 + Applicable Taxes.,None,"Using Priority Pass, you and your add-on member can together avail up to 6 Complimentary Lounge Access per calendar year, outside India.;If you exceed the 6 Complimentary visits, you will be charged at US $27 + GST per visit;If you use your Priority Pass for lounge access within India, you will be charged at US $27 + GST per visit;12 complimentary access within India (both at domestic and international terminals) using the HDFC Bank Regalia Gold Credit Card.",";Get additional ₹ 5,000 worth flight vouchers when you spend Rs. 7.5 Lakhs spends in an anniversary year;Get ₹ 1,500 worth vouchers from Marriott, Myntra, Marks & Spencer or Reliance Digital when you spend Rs. 1.5 Lakhs in every calendar quarter.;Get ₹ 5,000 worth flight vouchers when you spend Rs. 5 Lakhs spends in an anniversary year",None
IRCTC HDFC Bank Credit Card,Joining/Renewal Membership Fee – Rs. 500/- + Applicable Taxes,None,None,,"Spend Rs. 1,50,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off ."
Tata Neu Plus HDFC Bank Credit Card,Joining/Renewal Membership Fee – ₹499/- + Applicable Taxes,None,Domestic Lounge Access4 Complimentary Domestic Lounge Access per calendar year (1 in a quarter). ₹2 (VISA / RuPay) will be charged to the Credit Card for the Lounge Access,None,"Spend ₹1,00,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off."
Tata Neu Infinity HDFC Bank Credit Card,"Joining/Renewal Membership Fee – ₹1,499/- + Applicable Taxes",None,"4 Complimentary Lounge Access per calendar year (1 per Quarter), outside India. Customers will be charged a transaction fee of $3.25 on their Credit card towards complimentary lounge access, same shall be reversed. Visit exceeding the complimentary quota will be allowed at the discretion of lounge and will also be chargeable by the lounge.;B. International Lounge Access – VISA CardUsing Priority Pass, you and your add on member can together avail up to 4 Complimentary Lounge Access per calendar year (1 per Quarter), outside India.If you exceed the 4 Complimentary (1 per Quarter) visits, you will be charged at US $27 + GST per visitAll guests visits using Priority pass would be charged at US $27 + GST per visit per guest",None,"Spend ₹3,00,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off."
HDFC Bank UPI RuPay Credit Card,Joining/Renewal Membership Fee – ₹250/- + Applicable Taxes,None,None,None,"Spend ₹25,000 or more in an annual year, before your Credit Card renewal date and get your renewal fee waived offfrom 2nd year onwards"
INFINIA Metal Edition,"Joining/Renewal Membership Fee – Rs. 10,000 + Applicable Taxes.;Joining/Renewal Membership Fee – Rs. 12,500 + Applicable Taxes",None,"Enjoy unlimited complimentary lounge access at airports within and outside India at 1,000+ airport lounges using Priority Pass.",None,Spend 8 lakhs or more in the preceding 12 months and get renewal membership fee waived off for next year.;Spend 10 lakhs or more in the preceding 12 months and get renewal membership fee waived off for next year.
Diners Club Black Credit Card,"Joining/Renewal Membership Fee – Rs. 10,000/- plus Applicable Taxes",None,Unlimited Airport lounge access to 1000+ Lounges in India and worldwide for primary and add-on card members.,";HDFC Bank Diners Club Black Credit Card holders can select any 2 benefits amongst cult.fit Live 1 month membership or BookMyShow or TataCLiQ or Ola cabs vouchers worth Rs. 500 every month on spends of Rs. 80,000.(T&C Apply)",Spend Rs. 5 Lakhs in 12 Months and get Renewal Fee waived for next renewal year
Freedom Credit Card,Joining/Renewal Membership Fee – ₹500/- + Applicable Taxes,None,None,None,"Spend ₹50,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off"
